region,cs,freq,ml,el,wc,tweet,author,lat,lon,Cebu,34.75%,2148, Dumaguete,7.67%,474, Davao,27.64%,1709, CDO,29.94%,1851,6182
o,,,,,0, @, pnu_o,8.504451,124.638603,,,,,,,,,,,,,
d,,,,,0, :):):):):):), theawezume,9.316729,123.306176,,,,,,,,,,,,,
o,,,,,0, :-*, melovedbyHIM,8.241131,124.247329,,,,,,,,,,,,,
o,,,,,1," ""zoom"," ""katethinthuan",8.496703,124.61503,,,,,,,,,,,,,
v,,,,,1," ""BOOBS""  "," ""biancamaedelfin",7.102296,125.614439,,,,,,,,,,,,,
v,,,,,1," ""Haluu""  "," ""nickelettee",7.104903,125.598012,,,,,,,,,,,,,
v,,,,,1," ""BOOBIES""  "," ""biancamaedelfin",7.102296,125.614439,,,,,,,,,,,,,
v,,,,,1," ""Hiiiii""  "," ""saraysabela",7.085997,125.613577,,,,,,,,,,,,,
v,,,,,1," ""Boobies""  "," ""biancamaedelfin",7.102296,125.614439,,,,,,,,,,,,,
v,,,,,1," ""Kana!""  "," ""reenUghh",7.1856,125.432035,,,,,,,,,,,,,
v,,,,,1," ""Hello!!!""  "," ""KiAquino",7.113838,125.642835,,,,,,,,,,,,,
d,,,,,1," "":D"" "," ""kliff_partosa",9.286236,123.264649,,,,,,,,,,,,,
v,,,,,1, @millevilbar :'(, elgabayan,7.103397,125.596628,,,,,,,,,,,,,
c,,,,,1,2500, carlbautista3,10.312671,123.91868,,,,,,,,,,,,,
o,,,,,1, hugot, ohsnapitzapril1,8.425879,124.604004,,,,,,,,,,,,,
o,,,,,1, Hapdos, iammekristine,8.502707,124.630529,,,,,,,,,,,,,
v,,,,,1, Exhale, tonchidy,7.112942,125.605847,,,,,,,,,,,,,
v,,,,,1, Inhale, tonchidy,7.112942,125.605847,,,,,,,,,,,,,
o,,,,,1, HELLO, bernardoxchandy,8.487088,124.639032,,,,,,,,,,,,,
o,,,,,1, #JaneRome, itsmedenahembra,8.652538,124.756081,,,,,,,,,,,,,
c,,,,,1, Morning :), adrian_rix,10.372537,123.923979,,,,,,,,,,,,,
v,,,,,1, disisitpancit, kookyengu,7.066848,125.613756,,,,,,,,,,,,,
o,,,,,1, AJA!, annepacaldo,8.47491,124.645838,,,,,,,,,,,,,
o,,,,,1, Idkkkkkk, caliegan14,8.487084,124.643668,,,,,,,,,,,,,
d,,,,,1, -________-, clairerosillo07,9.313211,123.275856,,,,,,,,,,,,,
c,,,,,1, Bye, imanneabastas,10.292692,123.864318,,,,,,,,,,,,,
