region,cs,freq,ml,el,cswc,wc,tweet,author,lat,lon,,,,,,,,,,,,
v,d,,,,,3, @gaaaabrielle_x watch ka? (:, iamcerro24,6.936058,125.471194,,,,,,,,,,,,
v,d,,,,,7, @gaaaabrielle_x i watch :D ouija kia naka?, iamcerro24,7.001675,125.483198,,,,,,,,,,,,
v,d,,c,,,7, Hahaha funny convo with my pamangkin again, rosellesnava,7.006426,125.504732,,,,,,,,,,,,
v,d,,,,,22, Mommy&amp;Kuya: Jessee!!! (Sumigaw) \n Ako: (tumakbo papunta sa kanila) bakit?! \n Sila: Si Joaquin oh! Yung crush mo kumanta. \n  \n #Gimme5ASAPStandOut, JMDJesse,7.0083,125.505717,,,,,,,,,,,,
v,d,,,,,9, Teach me how to dougie x Jingle Bells #ganunba, abilouisesantos,7.021686,125.495703,,,,,,,,,,,,
v,d,,,,,20, As long as you stay bitter and angry you'll only hurt yourself. Move on and leave vengeance to God. :), VSAngelJuliene,7.031378,125.497413,,,,,,,,,,,,
v,d,,,,,5, @MARSTELLARACAL Maris followback ko please, jonahchuchu,7.031422,125.50666,,,,,,,,,,,,
v,d,,,?,,8, YUNG SINABI NI ALEX BU DAW \ud83d \ude02, jonahchuchu,7.031422,125.506662,,,,,,,,,,,,
v,d,,e,?*,,10, @Leigh_Richiie: NP: Aking Prinsesa \ud83d \ude0d \ud83d \ude0d \ud83d \ude0d, jonahchuchu,7.031423,125.506661,,,,,,,,,,,,
v,d,,,,,5, @kinitzkie sa ang connection??? Hahaha, aividanes,7.034135,125.504527,,,,,,,,,,,,
v,d,,,?,,6, @imprettymikay: putek na ASAP to #PAASA, WindeelynGamao,7.0344,125.510168,,,,,,,,,,,,
v,d,,e,es,,15, @Ashton5SOS: Derpcon is going to be so incredible having fans from every corner of the planet in one place so excited..., WindeelynGamao,7.034401,125.510168,,,,,,,,,,,,
v,d,,e,?*jeje,,16, @bernardokath: Wansapanatym presents puppy ko so papi ngayong sunday na! :) \ud83d \udc36 http://t.co/u4UNMQJNvV, WindeelynGamao,7.034401,125.510168,,,,,,,,,,,,
v,d,,,,,13, @ESINEDeighteen: Grbe puno ng hashtag about vote 5sos hahaha \ud83d \udc4c \ud83d \udc4d, WindeelynGamao,7.034401,125.510169,,,,,,,,,,,,
v,d,,,,,16, @theyuhxx: @BuhayFanGirl: Ang nag iisang tanong ng mga fangirls ngayon Nasaan Ka Dj ? #BuhayFanGirl HAHA YASSS, WindeelynGamao,7.034401,125.510168,,,,,,,,,,,,
v,d,,,,,35, Ang talawits oh! Hahahaha booooo!! \ud83d \udc4e \ud83d \udc4e \ud83d \udc4e @raninz7786 \ud83d \udc89 \ud83d \udc89 \ud83d \ude2d \ud83d \ude23 \ud83d \udd2c \ud83d \udcdd \ud83c \udfe5 @ Davao Doctors Hospital - Dumoy \u2026 http://t.co/U5rcvzvakx, GeMiNi23NiNz,7.035082,125.518402,,,,,,,,,,,,
v,d,,c,?struct,,4, @StaphOrius @cokkerambles_ oppsss joke, iamsittichan,7.036679,125.512763,,,,,,,,,,,,
v,d,,,,,15, @angelericasan makatulog man gud ko between 9-11 \ud83d \ude2d \ud83d \ude34 pag magbasa ko, iamsittichan,7.037013,125.512772,,,,,,,,,,,,
v,d,,,,,15, @GuavaPanda hahaha wala man koy ppt nya frans and humana pud kog pangita \ud83d \ude0a, iamsittichan,7.037013,125.512773,,,,,,,,,,,,
v,d,,,,,7, @ikamooo day gna stalk gud ko nya, iamsittichan,7.037013,125.512773,,,,,,,,,,,,
v,d,,,,,10, @ikamooo sad to say but its true hahaha sorry day., iamsittichan,7.037013,125.512774,,,,,,,,,,,,
